hostname,ip,sshPortOpen,ftpPortOpen,smtpPortOpen,httpPortOpen,sqlPortOpen,hasAdminRights,cpuCores,isConnectedTo,ramUsed,maxRam,organizationName,purchasedByPlayer,backdoorInstalled,baseDifficulty,hackDifficulty,minDifficulty,moneyAvailable,moneyMax,numOpenPortsRequired,openPortCount,requiredHackingSkill,serverGrowth,
home,94.8.5.4,true,true,true,true,true,true,7,true,839895.3,1048576,Home PC,true,true,1,1,1,6671070796834226,0,5,5,1,1,
n00dles,131.248.40.183,true,true,true,true,true,true,1,false,3.5,4,Noodle Bar,false,true,1.5,1.3320000000000003,1,1313734.030250764,1400000,0,5,1,3000,
foodnstuff,190.194.73.55,true,true,true,true,true,true,1,false,15.75,16,FoodNStuff,false,true,15,31.456,5,5322627.452172685,40000000,0,5,1,5,
sigma-cosmetics,177.94.246.207,true,true,true,true,true,true,1,false,15.75,16,Sigma Cosmetics,false,true,15,5.301999999999999,5,5038048.8130329875,46000000,0,5,5,10,
joesguns,186.98.167.182,true,true,true,true,true,true,1,false,15.75,16,Joe's Guns,false,true,22.5,9.344000000000001,8,13437141.961312504,50000000,0,5,10,20,
hong-fang-tea,214.9.6.65,true,true,true,true,true,true,1,false,15.75,16,HongFang Teahouse,false,true,22.5,8,8,44935174.24032467,60000000,0,5,30,20,
harakiri-sushi,206.153.120.87,true,true,true,true,true,true,1,false,15.75,16,HaraKiri Sushi Bar Network,false,true,22.5,8.084,8,1197806.178293859,80000000,0,5,40,40,
iron-gym,208.227.240.31,true,true,true,true,true,true,1,false,31.5,32,Iron Gym Network,false,true,45,20.016,15,400000000,400000000,1,5,100,20,
pserv-0,182.213.254.40,false,false,false,false,false,true,1,false,1048529.75,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-1,202.228.190.137,false,false,false,false,false,true,1,false,1048574.95,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-2,4.33.100.32,false,false,false,false,false,true,1,false,1048575.5,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-3,95.61.125.195,false,false,false,false,false,true,1,false,1048575.95,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-4,204.57.24.162,false,false,false,false,false,true,1,false,1048516.55,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-5,9.118.234.198,false,false,false,false,false,true,1,false,1048559,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-6,145.147.49.167,false,false,false,false,false,true,1,false,1048544.95,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-7,189.184.175.138,false,false,false,false,false,true,1,false,1048570.85,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-8,136.21.94.72,false,false,false,false,false,true,1,false,1048558.6,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-9,233.102.131.65,false,false,false,false,false,true,1,false,1048437.2,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-10,254.123.12.193,false,false,false,false,false,true,1,false,1048575.65,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-11,217.33.216.119,false,false,false,false,false,true,1,false,1048531.05,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-12,14.100.198.104,false,false,false,false,false,true,1,false,1048543.45,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-13,47.16.212.75,false,false,false,false,false,true,1,false,1048420.7,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-14,168.78.30.241,false,false,false,false,false,true,1,false,1048575.2,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-15,133.184.192.182,false,false,false,false,false,true,1,false,1048437.75,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-16,170.18.6.194,false,false,false,false,false,true,1,false,1048575.8,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-17,242.176.133.154,false,false,false,false,false,true,1,false,1048575,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-18,154.205.84.164,false,false,false,false,false,true,1,false,1048437.55,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-19,238.80.156.107,false,false,false,false,false,true,1,false,1048538.25,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-20,178.13.249.56,false,false,false,false,false,true,1,false,1048575.55,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-21,157.102.34.51,false,false,false,false,false,true,1,false,1048575,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-22,37.82.104.132,false,false,false,false,false,true,1,false,1048575.65,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-23,119.33.178.26,false,false,false,false,false,true,1,false,1048575.95,1048576,,true,false,1,1,1,0,0,5,0,1,1,
pserv-24,53.233.176.87,false,false,false,false,false,true,1,false,1048437.45,1048576,,true,false,1,1,1,0,0,5,0,1,1,
hacknet-server-0,64.26.239.206,false,false,false,false,false,true,30,false,0,8192,,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
hacknet-server-1,193.79.90.246,false,false,false,false,false,true,30,false,0,8192,,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
hacknet-server-2,119.60.224.128,false,false,false,false,false,true,30,false,0,8192,,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
hacknet-server-3,232.156.187.85,false,false,false,false,false,true,30,false,0,8192,,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
hacknet-server-4,89.50.207.249,false,false,false,false,false,true,30,false,0,8192,,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
hacknet-server-5,159.56.9.63,false,false,false,false,false,true,30,false,0,8192,,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
hacknet-server-6,117.175.135.30,false,false,false,false,false,true,30,false,0,8192,,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
hacknet-server-7,147.201.26.157,false,false,false,false,false,true,30,false,0,8192,,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
hacknet-server-8,130.21.205.89,false,false,false,false,false,true,30,false,0,8192,,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
hacknet-server-9,117.141.136.139,false,false,false,false,false,true,30,false,0,8192,,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
hacknet-server-10,163.164.242.111,false,false,false,false,false,true,30,false,0,8192,,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
hacknet-server-11,24.84.70.111,false,false,false,false,false,true,30,false,0,8192,,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
